filename,title,year,adjective,count,noun_count
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,frisch,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,frei,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,rein,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,blau,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,leer,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,kalt,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,klar,1,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,still,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,warm,0,6
Maximilian_Schmidt_-_Glasmacherleut'_(1869),Glasmacherleut',1869-01-01,kühl,0,6
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,frisch,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,frei,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,rein,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,blau,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,leer,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,kalt,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,klar,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,still,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,warm,0,1
Heinrich_Laube_-_Ein_Liebespaar_(1837),Ein Liebespaar,1837-01-01,kühl,0,1
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,frisch,1,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,frei,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,rein,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,blau,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,leer,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,kalt,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,klar,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865-01-01,still,0,6
