Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Armut,Armut,NOUN,ROOT,0,Armut
1,",",--,PUNCT,punct,0,Armut
2,Reichtum,Reichtum,NOUN,cj,0,Armut
3,",",--,PUNCT,punct,0,Armut
4,Schuld,Schuld,NOUN,ROOT,4,Schuld
5,und,und,CCONJ,cd,4,Schuld
6,Buße,Buße,NOUN,cj,5,und
7,der,der,DET,nk,8,Gräfin
8,Gräfin,Gräfin,NOUN,ROOT,8,Gräfin
9,Dolores,Dolores,PROPN,nk,8,Gräfin
10,Eine,ein,DET,nk,12,Geschichte
11,wahre,wahr,ADJ,nk,12,Geschichte
12,Geschichte,Geschichte,NOUN,ROOT,12,Geschichte
13,zur,zu,ADP,ROOT,13,zur
14,lehrreichen,lehrreich,ADJ,nk,15,Unterhaltung
15,Unterhaltung,Unterhaltung,NOUN,nk,13,zur
16,armer,arm,ADJ,nk,17,Fräulein
17,Fräulein,Fräulein,NOUN,ag,15,Unterhaltung
18,aufgeschrieben,Aufgeschrieb,VERB,ROOT,18,aufgeschrieben
19,von,von,ADP,pg,18,aufgeschrieben
20,Ludwig,Ludwig,PROPN,pnc,21,Achim
21,Achim,Achim,PROPN,ROOT,21,Achim
22,v.,v.,ADP,mnr,21,Achim
23,Arnim,Arnim,PROPN,nk,22,v.
24,━,━,DET,nk,25,━
25,━,━,PROPN,nk,102,━
26,━,━,PROPN,cj,25,━
27,━,━,DET,app,25,━
28,━,━,DET,app,25,━
29,━,━,DET,app,25,━
30,━,━,DET,app,25,━
31,━,━,DET,app,25,━
32,━,━,DET,app,25,━
33,━,━,DET,app,25,━
34,━,━,DET,app,25,━
35,━,━,DET,app,25,━
36,━,━,DET,app,25,━
37,━,━,DET,app,25,━
38,━,━,DET,app,25,━
39,━,━,DET,app,25,━
40,━,━,DET,app,25,━
41,━,━,DET,app,25,━
42,━,━,DET,app,25,━
43,━,━,DET,app,25,━
44,━,━,DET,app,25,━
45,━,━,DET,app,25,━
46,━,━,DET,app,25,━
47,━,━,DET,app,25,━
48,━,━,DET,app,25,━
49,━,━,DET,app,25,━
50,━,━,DET,app,25,━
51,━,━,DET,app,25,━
52,━,━,DET,app,25,━
53,━,━,DET,app,25,━
54,━,━,DET,app,25,━
55,━,━,DET,app,25,━
56,━,━,DET,app,25,━
57,━,━,DET,app,25,━
58,━,━,DET,app,25,━
59,━,━,DET,app,25,━
60,━,━,DET,app,25,━
61,━,━,DET,app,25,━
62,━,━,DET,app,25,━
63,━,━,DET,app,25,━
64,━,━,DET,app,25,━
65,━,━,DET,app,25,━
66,━,━,DET,app,25,━
67,━,━,DET,app,25,━
68,━,━,DET,app,25,━
69,━,━,DET,app,25,━
70,━,━,DET,app,25,━
71,━,━,DET,app,25,━
72,━,━,DET,app,25,━
73,━,━,DET,app,25,━
74,━,━,DET,app,25,━
75,━,━,DET,app,25,━
76,━,━,DET,app,25,━
77,━,━,DET,app,25,━
78,━,━,DET,app,25,━
79,━,━,DET,app,25,━
80,━,━,DET,app,25,━
81,━,━,DET,app,25,━
82,━,━,DET,app,25,━
83,━,━,DET,app,25,━
84,━,━,DET,app,25,━
85,━,━,DET,app,25,━
86,━,━,DET,app,25,━
87,━,━,DET,app,25,━
88,━,━,DET,app,25,━
89,━,━,DET,app,25,━
90,━,━,DET,app,25,━
91,━,━,DET,app,25,━
92,━,━,DET,app,25,━
93,━,━,DET,app,25,━
94,━,━,DET,app,25,━
95,━,━,DET,app,25,━
96,━,━,DET,app,25,━
97,━,━,DET,app,25,━
98,━,━,DET,app,25,━
99,━,━,PROPN,app,25,━
100,━,━,PROPN,app,25,━
101,━,━,PROPN,app,25,━
102,━,━,PROPN,ROOT,102,━
103,Zueignung,Zueignung,NOUN,ROOT,103,Zueignung
104,an,an,ADP,ROOT,104,an
105,des,der,DET,nk,106,Fürsten
106,Fürsten,Fürst,NOUN,nk,107,Radzivil
107,Radzivil,Radzivil,PROPN,ROOT,107,Radzivil
108,Durchlaucht,Durchlaucht,PROPN,ROOT,108,Durchlaucht
109,Dem,der,DET,nk,110,Schutzgeist
110,Schutzgeist,Schutzgeist,NOUN,da,111,bleibt
111,bleibt,bleiben,VERB,ROOT,111,bleibt
112,ein,ein,DET,nk,114,Sinn
113,treuer,treu,ADJ,nk,114,Sinn
114,Sinn,Sinn,NOUN,sb,111,bleibt
115,ergeben,ergeben,VERB,oc,111,bleibt
116,",",--,PUNCT,punct,111,bleibt
117,Der,der,DET,sb,119,erhob
118,ihn,ihn,PRON,oa,119,erhob
119,erhob,erheben,VERB,ROOT,119,erhob
120,aus,aus,ADP,mo,119,erhob
121,einer,ein,DET,nk,123,Zeit
122,dunklen,dunkel,ADJ,nk,123,Zeit
123,Zeit,Zeit,NOUN,nk,120,aus
124,",",--,PUNCT,punct,119,erhob
125,Auf,auf,ADP,mo,129,hinzuschweben
126,lichten,licht,ADJ,nk,127,Flügeln
127,Flügeln,Flügel,NOUN,nk,125,Auf
128,singend,singend,ADV,mo,129,hinzuschweben
129,hinzuschweben,hinzuschweben,VERB,ROOT,129,hinzuschweben
130,In,in,ADP,ROOT,130,In
131,hohem,hoch,ADJ,nk,132,Frieden
132,Frieden,Frieden,NOUN,nk,130,In
133,über,über,ADP,mnr,132,Frieden
134,leeren,leer,ADJ,nk,135,Streit
135,Streit,Streit,NOUN,nk,133,über
136,;,--,PUNCT,punct,130,In
137,So,so,ADV,mo,138,ward
138,ward,werden,VERB,ROOT,138,ward
139,auch,auch,ADV,mo,140,mir
140,mir,mir,PRON,da,138,ward
141,ein,ein,DET,nk,143,Leben
142,hochgesellig,hochgesellig,ADV,mo,143,Leben
143,Leben,Leben,NOUN,sb,138,ward
144,",",--,PUNCT,punct,138,ward
145,Wo,wo,SCONJ,mo,152,gereiht
146,sich,sich,PRON,oa,152,gereiht
147,die,der,DET,nk,148,Worte
148,Worte,Wort,NOUN,sb,152,gereiht
149,leicht,leicht,ADV,mo,152,gereiht
150,zum,zu,ADP,mo,152,gereiht
151,Lied,Lied,NOUN,nk,150,zum
152,gereiht,reihen,VERB,ROOT,152,gereiht
153,",",--,PUNCT,punct,152,gereiht
154,Mein,mein,DET,nk,155,Lied
155,Lied,Lied,NOUN,ROOT,155,Lied
156,und,und,CCONJ,cd,155,Lied
157,ich,ich,PRON,cj,156,und
158,",",--,PUNCT,punct,155,Lied
159,wir,wir,PRON,sb,160,bleiben
160,bleiben,bleiben,VERB,oc,155,Lied
161,treu,treu,ADV,mo,162,ergeben
162,ergeben,ergeben,VERB,oc,160,bleiben
163,Dem,der,PRON,da,169,geweiht
164,der,der,DET,nk,163,Dem
165,uns,uns,PRON,da,169,geweiht
166,hat,haben,AUX,ROOT,166,hat
167,durch,durch,ADP,mo,169,geweiht
168,Melodie,Melodie,NOUN,nk,167,durch
169,geweiht,weihen,VERB,oc,166,hat
170,",",--,PUNCT,punct,166,hat
171,Die,der,DET,sb,177,weinet
172,aus,aus,ADP,mo,177,weinet
173,dem,der,DET,nk,175,Herzen
174,vollen,voll,ADJ,nk,175,Herzen
175,Herzen,Herz,NOUN,nk,172,aus
176,einsam,einsam,ADV,mo,177,weinet
177,weinet,weinen,VERB,ROOT,177,weinet
178,Und,und,CCONJ,ju,184,scheinet
179,wie,wie,ADV,mo,184,scheinet
180,ein,ein,DET,nk,181,Nordlicht
181,Nordlicht,Nordlicht,NOUN,sb,184,scheinet
182,tief,tief,ADV,mo,183,bedeutend
183,bedeutend,bedeutend,ADV,mo,184,scheinet
