lastname,firstname,DC.title,DC.date,year,volume,DC.identifier
von Kleist,Heinrich,Der Findling,1811,1811,,Heinrich_von_Kleist_-_Der_Findling_(1811)
von Schmid,Christoph,Wie Heinrich von Eichenfels zur Erkenntnis Gottes kam,1817,1817,,Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817)
Schopenhauer,Johanna,Gabriele,1819,1819,,Johanna_Schopenhauer_-_Gabriele_(1819)
Hoffmann,ETA,Der Magnetiseur,1814,1814,,ETA_Hoffmann_-_Der_Magnetiseur_(1814)
von Eichendorff,Joseph,Das Marmorbild,1819,1819,,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819)
Clauren,H.,Mimili,1816,1816,,H._Clauren_-_Mimili_(1816)
Körner,Theodor,Hans Heilings Felsen,1811,1811,,Theodor_Körner_-_Hans_Heilings_Felsen_(1811)
Hoffmann,ETA,Die Jesuiterkirche in G.,1817,1817,,ETA_Hoffmann_-_Die_Jesuiterkirche_in_G._(1817)
von Kleist,Heinrich,Das Bettelweib von Locarno,1811,1811,,Heinrich_von_Kleist_-_Das_Bettelweib_von_Locarno_(1811)
von Kleist,Heinrich,Der Zweikampf,1811,1811,,Heinrich_von_Kleist_-_Der_Zweikampf_(1811)
Contessa,Karl Wilhelm Salice,Haushahn und Paradiesvogel,1813,1813,,Karl_Wilhelm_Salice_Contessa_-_Haushahn_und_Paradiesvogel_(1813)
Baumann,Joseph,Ulli und Elsi,1829,1829,,Joseph_Baumann_-_Ulli_und_Elsi_(1829)
Hoffmann,ETA,Lebensansichten des Katers Murr,1820,1820,,ETA_Hoffmann_-_Lebensansichten_des_Katers_Murr_(1820)
Clauren,H.,Der selige Papier-Müller,1820,1820,,H._Clauren_-_Der_selige_Papier-Müller_(1820)
Hoffmann,ETA,Letzte Stücke,1822,1822,,ETA_Hoffmann_-_Letzte_Stücke_(1822)
Hauff,Wilhelm,Phantasien im Bremer Ratskeller,1827,1827,,Wilhelm_Hauff_-_Phantasien_im_Bremer_Ratskeller_(1827)
Clauren,H.,Die Großmutter,1827,1827,,H._Clauren_-_Die_Großmutter_(1827)
Hoffmann,ETA,Die Serapions-Brüder,1821,1821,,ETA_Hoffmann_-_Die_Serapions-Brüder_(1821)
Paul,Jean,Der Maschinenmann,1825,1825,,Jean_Paul_-_Der_Maschinenmann_(1825)
von Schmid,Christoph,Der Weihnachtsabend,1825,1825,,Christoph_von_Schmid_-_Der_Weihnachtsabend_(1825)
von Schmid,Christoph,Rosa von Tannenburg,1823,1823,,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823)
Clauren,H.,Die Gräfin Cherubim,1824,1824,,H._Clauren_-_Die_Gräfin_Cherubim_(1824)
Hoffmann,ETA,Des Vetters Eckfenster,1822,1822,,ETA_Hoffmann_-_Des_Vetters_Eckfenster_(1822)
Rückert,Friedrich,Die Makamen des Hariri,1826,1826,,Friedrich_Rückert_-_Die_Makamen_des_Hariri_(1826)
Contessa,Karl Wilhelm Salice,Die Schatzgräber,1825,1825,,Karl_Wilhelm_Salice_Contessa_-_Die_Schatzgräber_(1825)
Zschokke,Heinrich,Der König von Akim,1825,1825,,Heinrich_Zschokke_-_Der_König_von_Akim_(1825)
Tieck,Ludwig,Das Fest zu Kenelworth,1828,1828,,Ludwig_Tieck_-_Das_Fest_zu_Kenelworth_(1828)
Rochlitz,Friedrich,Amtsbericht des Pfarrers zu Eichengrün,1821,1821,,Friedrich_Rochlitz_-_Amtsbericht_des_Pfarrers_zu_Eichengrün_(1821)
Alexis,Willibald,Walladmor,1824,1824,,Willibald_Alexis_-_Walladmor_(1824)
Tieck,Ludwig,Die Reisenden,1824,1824,,Ludwig_Tieck_-_Die_Reisenden_(1824)
Tieck,Ludwig,Glück giebt Verstand,1826,1826,,Ludwig_Tieck_-_Glück_giebt_Verstand_(1826)
Schöll,Adolf,Der arme Stephan,1827,1827,,Adolf_Schöll_-_Der_arme_Stephan_(1827)
der Jüngere,Johann Rudolf Wyß,Viel Noth und viel Hülf,1825,1825,,Johann_Rudolf_Wyß_der_Jüngere_-_Viel_Noth_und_viel_Hülf_(1825)
von Arnim,Achim,Die Majoratsherren,1820,1820,,Achim_von_Arnim_-_Die_Majoratsherren_(1820)
Heun,Karl Gottlieb Samuel,Die Versuchung,1827,1827,,Karl_Gottlieb_Samuel_Heun_-_Die_Versuchung_(1827)
Schreyvogel,Joseph,Samuel Brinks letzte Liebesgeschichte,1821,1821,,Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821)
Tieck,Ludwig,Der fünfzehnte November,1827,1827,,Ludwig_Tieck_-_Der_fünfzehnte_November_(1827)
Tieck,Ludwig,Dichterleben,1825,1825,,Ludwig_Tieck_-_Dichterleben_(1825)
Paul,Jean,Der Komet,1820,1820,,Jean_Paul_-_Der_Komet_(1820)
Spindler,Carl,Der Jude,1827,1827,,Carl_Spindler_-_Der_Jude_(1827)
Tieck,Ludwig,Die Verlobung,1823,1823,,Ludwig_Tieck_-_Die_Verlobung_(1823)
Tieck,Ludwig,Die Gemälde,1821,1821,,Ludwig_Tieck_-_Die_Gemälde_(1821)
von Arnim,Achim,Holländische Liebhabereien,1826,1826,,Achim_von_Arnim_-_Holländische_Liebhabereien_(1826)
Grün,Anastasius,Der Eremit auf der Sierra Morena,1827,1827,,Anastasius_Grün_-_Der_Eremit_auf_der_Sierra_Morena_(1827)
Spindler,Carl,Der Jesuit,1829,1829,,Carl_Spindler_-_Der_Jesuit_(1829)
Contessa,Karl Wilhelm Salice,Vergib uns unsere Schuld,1825,1825,,Karl_Wilhelm_Salice_Contessa_-_Vergib_uns_unsere_Schuld_(1825)
Zschokke,Heinrich,Jonathan Frock,1825,1825,,Heinrich_Zschokke_-_Jonathan_Frock_(1825)
Zschokke,Heinrich,Das blaue Wunder,1829,1829,,Heinrich_Zschokke_-_Das_blaue_Wunder_(1829)
Tieck,Ludwig,Der Aufruhr in den Cevennen,1826,1826,,Ludwig_Tieck_-_Der_Aufruhr_in_den_Cevennen_(1826)
der Velde,Carl Franz van,Das Liebhaber-Theater,1824,1824,,Carl_Franz_van_der_Velde_-_Das_Liebhaber-Theater_(1824)
Hoffmann,ETA,Die Geheimnisse,1821,1821,Merkwürdige Korrespondenz des Autors mit vers,ETA_Hoffmann_-_Die_Geheimnisse_-_Merkwürdige_Korrespondenz_des_Autors_mit_vers_(1821)
von Schmid,Christoph,"Gottfried, der junge Einsiedler",1829,1829,,"Christoph_von_Schmid_-_Gottfried,_der_junge_Einsiedler_(1829)"
Hauff,Wilhelm,Novellen,1828,1828,,Wilhelm_Hauff_-_Novellen_(1828)
Heine,Heinrich,Reisebilder,1826,1826,,Heinrich_Heine_-_Reisebilder_(1826)
Hauff,Wilhelm,Der Mann im Mond,1826,1826,,Wilhelm_Hauff_-_Der_Mann_im_Mond_(1826)
Huber,Therese,Alte Zeit und neue Zeit,1828,1828,,Therese_Huber_-_Alte_Zeit_und_neue_Zeit_(1828)
von Arnim,Achim,Owen Tudor,1821,1821,,Achim_von_Arnim_-_Owen_Tudor_(1821)
von Voß,Julius,Die Moden der guten alten Zeit,1827,1827,,Julius_von_Voß_-_Die_Moden_der_guten_alten_Zeit_(1827)
Tieck,Ludwig,Der Geheimnisvolle,1822,1822,,Ludwig_Tieck_-_Der_Geheimnisvolle_(1822)
von Eichendorff,Joseph,Aus dem Leben eines Taugenichts,1826,1826,,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826)
Rilke,Rainer Maria,Erzählungen aus dem Nachlaß,1826,1826,,Rainer_Maria_Rilke_-_Erzählungen_aus_dem_Nachlaß_(1826)
Tieck,Ludwig,Das Zauberschloß,1830,1830,,Ludwig_Tieck_-_Das_Zauberschloß_(1830)
Tieck,Ludwig,Der wiederkehrende griechische Kaiser,1831,1831,,Ludwig_Tieck_-_Der_wiederkehrende_griechische_Kaiser_(1831)
Immermann,Karl,Der Oberhof,1839,1839,,Karl_Immermann_-_Der_Oberhof_(1839)
Heine,Heinrich,Florentinische Nächte,1837,1837,,Heinrich_Heine_-_Florentinische_Nächte_(1837)
Immermann,Karl,Der Karneval und die Somnambule,1830,1830,,Karl_Immermann_-_Der_Karneval_und_die_Somnambule_(1830)
von Gaudy,Franz,Die Brenta-Blume,1838,1838,,Franz_von_Gaudy_-_Die_Brenta-Blume_(1838)
Seidl,Johann Gabriel,Der tödliche Knopf,1839,1839,,Johann_Gabriel_Seidl_-_Der_tödliche_Knopf_(1839)
Mörike,Eduard,Maler Nolten,1832,1832,,Eduard_Mörike_-_Maler_Nolten_(1832)
Laube,Heinrich,Die Karlisten,1837,1837,,Heinrich_Laube_-_Die_Karlisten_(1837)
Mörike,Eduard,Lucie Gelmeroth,1834,1834,,Eduard_Mörike_-_Lucie_Gelmeroth_(1834)
Tieck,Ludwig,Der Mondsüchtige,1832,1832,,Ludwig_Tieck_-_Der_Mondsüchtige_(1832)
Laube,Heinrich,Das Schloß in Franken,1837,1837,,Heinrich_Laube_-_Das_Schloß_in_Franken_(1837)
Tieck,Ludwig,Eine Sommerreise,1834,1834,,Ludwig_Tieck_-_Eine_Sommerreise_(1834)
von Ungern-Sternberg,Alexander,Die Zerrissenen,1832,1832,,Alexander_von_Ungern-Sternberg_-_Die_Zerrissenen_(1832)
Fröhlich,Abraham Manuel,Der Kinderball,1833,1833,,Abraham_Manuel_Fröhlich_-_Der_Kinderball_(1833)
Hebel,Johann Peter,Reise nach Frankfurt,1832,1832,,Johann_Peter_Hebel_-_Reise_nach_Frankfurt_(1832)
Spindler,Carl,Herbstviolen,1834,1834,,Carl_Spindler_-_Herbstviolen_(1834)
Laube,Heinrich,Eine Fahrt nach Pommern und der Insel Rügen,1837,1837,,Heinrich_Laube_-_Eine_Fahrt_nach_Pommern_und_der_Insel_Rügen_(1837)
Kerner,Justinus,Geschichte des Mädchens von Orlach,1834,1834,,Justinus_Kerner_-_Geschichte_des_Mädchens_von_Orlach_(1834)
Tieck,Ludwig,Hexensabbat,1831,1831,,Ludwig_Tieck_-_Hexensabbat_(1831)
Tieck,Ludwig,Der Schutzgeist,1839,1839,,Ludwig_Tieck_-_Der_Schutzgeist_(1839)
Rothpletz,Anna,Der Vorabend des Weihnachtsfestes,1830,1830,,Anna_Rothpletz_-_Der_Vorabend_des_Weihnachtsfestes_(1830)
Tieck,Ludwig,Die Ahnenprobe,1833,1833,,Ludwig_Tieck_-_Die_Ahnenprobe_(1833)
Laube,Heinrich,Reisenovellen,1836,1836,Band 4,Heinrich_Laube_-_Reisenovellen_-_Band_4_(1836)
Laube,Heinrich,Nell,1837,1837,,Heinrich_Laube_-_Nell_(1837)
Zschokke,Heinrich,Die Branntweinpest,1837,1837,,Heinrich_Zschokke_-_Die_Branntweinpest_(1837)
Laube,Heinrich,Eine Tyroler Geschichte,1837,1837,,Heinrich_Laube_-_Eine_Tyroler_Geschichte_(1837)
Glassbrenner,Adolf,Die Königsstraße,1838,1838,,Adolf_Glassbrenner_-_Die_Königsstraße_(1838)
Tieck,Ludwig,Weihnacht-Abend,1835,1835,,Ludwig_Tieck_-_Weihnacht-Abend_(1835)
Gotthelf,Jeremias,Wie fünf Mädchen im Branntwein jämmerlich umkommen,1838,1838,,Jeremias_Gotthelf_-_Wie_fünf_Mädchen_im_Branntwein_jämmerlich_umkommen_(1838)
von Eichendorff,Joseph,Die Entführung,1839,1839,,Joseph_von_Eichendorff_-_Die_Entführung_(1839)
Sealsfield,Charles,Nathan der Squatter,1835,1835,,Charles_Sealsfield_-_Nathan_der_Squatter_(1835)
Immermann,Karl,Münchhausen,1839,1839,,Karl_Immermann_-_Münchhausen_(1839)
Tieck,Ludwig,Eigensinn und Laune,1836,1836,,Ludwig_Tieck_-_Eigensinn_und_Laune_(1836)
von Arnim,Achim,Erzählungen,1831,1831,,Achim_von_Arnim_-_Erzählungen_(1831)
Tieck,Ludwig,Abendgespräche,1839,1839,,Ludwig_Tieck_-_Abendgespräche_(1839)
Immermann,Karl,Die Epigonen,1836,1836,,Karl_Immermann_-_Die_Epigonen_(1836)
Rellstab,Ludwig,1812 – Ein historischer Roman,1834,1834,,Ludwig_Rellstab_-_1812_–_Ein_historischer_Roman_(1834)
Tieck,Ludwig,"Dichterleben, zweiter Theil",1831,1831,,"Ludwig_Tieck_-_Dichterleben,_zweiter_Theil_(1831)"
von Eichendorff,Joseph,Eine Meerfahrt,1835,1835,,Joseph_von_Eichendorff_-_Eine_Meerfahrt_(1835)
Dingelstedt,Franz,Die neuen Argonauten,1839,1839,,Franz_Dingelstedt_-_Die_neuen_Argonauten_(1839)
Laube,Heinrich,Reisenovellen,1837,1837,Band 5,Heinrich_Laube_-_Reisenovellen_-_Band_5_(1837)
Gotthelf,Jeremias,Leiden und Freuden eines Schulmeisters,1838,1838,,Jeremias_Gotthelf_-_Leiden_und_Freuden_eines_Schulmeisters_(1838)
Brentano,Clemens,Geschichte vom braven Kasperl und dem schönen Annerl,1838,1838,,Clemens_Brentano_-_Geschichte_vom_braven_Kasperl_und_dem_schönen_Annerl_(1838)
Tieck,Ludwig,Der Wassermensch,1835,1835,,Ludwig_Tieck_-_Der_Wassermensch_(1835)
von Gaudy,Franz,Venetianische Novellen,1838,1838,,Franz_von_Gaudy_-_Venetianische_Novellen_(1838)
Heine,Heinrich,Schnabelewopski,1834,1834,,Heinrich_Heine_-_Schnabelewopski_(1834)
von Eichendorff,Joseph,Viel Lärmen um Nichts,1833,1833,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833)
Laube,Heinrich,Reisenovellen,1837,1837,Band 6,Heinrich_Laube_-_Reisenovellen_-_Band_6_(1837)
Tieck,Ludwig,Des Lebens Überfluss,1837,1837,,Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837)
Dronke,Ernst,Die Maikönigin,1846,1846,,Ernst_Dronke_-_Die_Maikönigin_(1846)
Stifter,Adalbert,Das Haidedorf,1840,1840,,Adalbert_Stifter_-_Das_Haidedorf_(1840)
Seidl,Johann Gabriel,Cornelia Fieramonti,1842,1842,,Johann_Gabriel_Seidl_-_Cornelia_Fieramonti_(1842)
Riehl,Wilhelm Heinrich,Der Stadtpfeifer,1847,1847,,Wilhelm_Heinrich_Riehl_-_Der_Stadtpfeifer_(1847)
Alexis,Willibald,Der falsche Woldemar,1842,1842,,Willibald_Alexis_-_Der_falsche_Woldemar_(1842)
Seidl,Johann Gabriel,Das goldene Ringlein,1842,1842,,Johann_Gabriel_Seidl_-_Das_goldene_Ringlein_(1842)
Hackländer,FW,Vier Könige,1841,1841,Bilder aus dem Soldatenleben,FW_Hackländer_-_Vier_Könige_-_Bilder_aus_dem_Soldatenleben_(1841)
Paalzow,Henriette,Thomas Thyrnau – Erster Theil,1843,1843,,Henriette_Paalzow_-_Thomas_Thyrnau_–_Erster_Theil_(1843)
Sealsfield,Charles,In der Prärie verirrt,1841,1841,,Charles_Sealsfield_-_In_der_Prärie_verirrt_(1841)
Gotthelf,Jeremias,Eine alte Geschichte zu neuer Erbauung,1849,1849,,Jeremias_Gotthelf_-_Eine_alte_Geschichte_zu_neuer_Erbauung_(1849)
Stifter,Adalbert,Prokopus,1847,1847,,Adalbert_Stifter_-_Prokopus_(1847)
Alexis,Willibald,Der Werwolf 1,1848,1848,,Willibald_Alexis_-_Der_Werwolf_1_(1848)
Gotthelf,Jeremias,Wie Anne Bäbi Jowäger haushaltet,1843,1843,Teil 2,Jeremias_Gotthelf_-_Wie_Anne_Bäbi_Jowäger_haushaltet_-_Teil_2_(1843)
Seidl,Johann Gabriel,Sie ist versorgt!,1842,1842,,Johann_Gabriel_Seidl_-_Sie_ist_versorgt!_(1842)
Kompert,Leopold,Ohne Bewilligung,1848,1848,,Leopold_Kompert_-_Ohne_Bewilligung_(1848)
Stifter,Adalbert,Feldblumen,1841,1841,,Adalbert_Stifter_-_Feldblumen_(1841)
Grillparzer,Franz,Der arme Spielmann,1847,1847,,Franz_Grillparzer_-_Der_arme_Spielmann_(1847)
Kurz,Hermann,Schillers Heimatjahre,1843,1843,,Hermann_Kurz_-_Schillers_Heimatjahre_(1843)
Gerstäcker,Friedrich,Schwarz und Weiß,1848,1848,,Friedrich_Gerstäcker_-_Schwarz_und_Weiß_(1848)
von Gaudy,Franz,Novellen und Erzählungen 1,1840,1840,,Franz_von_Gaudy_-_Novellen_und_Erzählungen_1_(1840)
Gotthelf,Jeremias,Wie Joggeli eine Frau sucht,1841,1841,,Jeremias_Gotthelf_-_Wie_Joggeli_eine_Frau_sucht_(1841)
Riehl,Wilhelm Heinrich,Meister Martin Hildebrand,1847,1847,,Wilhelm_Heinrich_Riehl_-_Meister_Martin_Hildebrand_(1847)
Stifter,Adalbert,Ein Gang durch die Katakomben,1844,1844,,Adalbert_Stifter_-_Ein_Gang_durch_die_Katakomben_(1844)
Stifter,Adalbert,Wirkungen eines weißen Mantels,1848,1848,Der arme Wohltäter - Der Pförtner,Adalbert_Stifter_-_Wirkungen_eines_weißen_Mantels_-_Der_arme_Wohltäter_-_Der_Pförtner_(1848)
Sealsfield,Charles,Das Kajütenbuch oder Nationale Charakteristiken,1843,1843,,Charles_Sealsfield_-_Das_Kajütenbuch_oder_Nationale_Charakteristiken_(1843)
Hoefer,Edmund,Das verlassene Haus,1845,1845,,Edmund_Hoefer_-_Das_verlassene_Haus_(1845)
von Eichendorff,Joseph,Die Glücksritter,1841,1841,,Joseph_von_Eichendorff_-_Die_Glücksritter_(1841)
Stifter,Adalbert,Der beschriebene Tännling,1846,1846,,Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846)
Hebbel,Friedrich,Die Kuh,1849,1849,,Friedrich_Hebbel_-_Die_Kuh_(1849)
Gerstäcker,Friedrich,Die Flußpiraten des Mississippi,1848,1848,,Friedrich_Gerstäcker_-_Die_Flußpiraten_des_Mississippi_(1848)
Hebbel,Friedrich,Matteo,1841,1841,,Friedrich_Hebbel_-_Matteo_(1841)
Gerstäcker,Friedrich,Die Regulatoren in Arkansas,1845,1845,,Friedrich_Gerstäcker_-_Die_Regulatoren_in_Arkansas_(1845)
Reuter,Fritz,Ein gräflicher Geburtstag,1847,1847,1,Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847)
Stifter,Adalbert,Die Mappe meines Urgroßvaters,1841,1841,,Adalbert_Stifter_-_Die_Mappe_meines_Urgroßvaters_(1841)
Auerbach,Berthold,Der Kindesmord,1848,1848,,Berthold_Auerbach_-_Der_Kindesmord_(1848)
Gotthelf,Jeremias,Michels Brautschau,1849,1849,,Jeremias_Gotthelf_-_Michels_Brautschau_(1849)
Alexis,Willibald,Der Roland von Berlin – Erster Band,1840,1840,,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Erster_Band_(1840)
Spindler,Carl,Der Vogelhändler von Imst,1841,1841,,Carl_Spindler_-_Der_Vogelhändler_von_Imst_(1841)
Schücking,Levin,Eine dunkle Tat,1846,1846,,Levin_Schücking_-_Eine_dunkle_Tat_(1846)
Stifter,Adalbert,Der Hagestolz,1845,1845,,Adalbert_Stifter_-_Der_Hagestolz_(1845)
Kompert,Leopold,Judith die Zweite,1848,1848,,Leopold_Kompert_-_Judith_die_Zweite_(1848)
Meinhold,Wilhelm,Die Bernsteinhexe Maria Schweidler,1841,1841,,Wilhelm_Meinhold_-_Die_Bernsteinhexe_Maria_Schweidler_(1841)
Gerstäcker,Friedrich,Die Vertreibung der Mormonen aus Missouri,1845,1845,,Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845)
Alexis,Willibald,Der Roland von Berlin – Zweiter Band,1840,1840,,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Zweiter_Band_(1840)
Alexis,Willibald,Die Hosen des Herrn von Bredow,1846,1846,,Willibald_Alexis_-_Die_Hosen_des_Herrn_von_Bredow_(1846)
Alexis,Willibald,Der Werwolf 2,1848,1848,,Willibald_Alexis_-_Der_Werwolf_2_(1848)
Gotthelf,Jeremias,Der Geltstag,1845,1845,,Jeremias_Gotthelf_-_Der_Geltstag_(1845)
Stifter,Adalbert,Das alte Siegel,1844,1844,,Adalbert_Stifter_-_Das_alte_Siegel_(1844)
Gerstäcker,Friedrich,Der erkaufte Henker,1845,1845,,Friedrich_Gerstäcker_-_Der_erkaufte_Henker_(1845)
von Droste-Hülshoff,Annette,Die Judenbuche,1842,1842,,Annette_von_Droste-Hülshoff_-_Die_Judenbuche_(1842)
Wildermuth,Ottilie,Unabhängigkeit,1855,1855,,Ottilie_Wildermuth_-_Unabhängigkeit_(1855)
Schücking,Levin,Die Rheider Burg,1859,1859,,Levin_Schücking_-_Die_Rheider_Burg_(1859)
Gerstäcker,Friedrich,Sträflinge,1857,1857,,Friedrich_Gerstäcker_-_Sträflinge_(1857)
Kurz,Hermann,Gesammelte kleinere Erzählungen – Vierter Teil,1858,1858,,Hermann_Kurz_-_Gesammelte_kleinere_Erzählungen_–_Vierter_Teil_(1858)
Alexis,Willibald,Isegrimm,1854,1854,,Willibald_Alexis_-_Isegrimm_(1854)
Saphir,Moritz Gottlieb,Album geselliger Thorheiten,1858,1858,,Moritz_Gottlieb_Saphir_-_Album_geselliger_Thorheiten_(1858)
Gotthelf,Jeremias,Das Erdbeeri Mareili,1850,1850,,Jeremias_Gotthelf_-_Das_Erdbeeri_Mareili_(1850)
Hackländer,FW,Eugen Stillfried – Zweiter Band,1852,1852,,FW_Hackländer_-_Eugen_Stillfried_–_Zweiter_Band_(1852)
von Schmid,Christoph,Das Täubchen,1854,1854,,Christoph_von_Schmid_-_Das_Täubchen_(1854)
Gerstäcker,Friedrich,Die Ahnung,1850,1850,,Friedrich_Gerstäcker_-_Die_Ahnung_(1850)
Bronner,Franz Xaver,Ein Mönchsleben aus der empfindsamen Zeit,1850,1850,,Franz_Xaver_Bronner_-_Ein_Mönchsleben_aus_der_empfindsamen_Zeit_(1850)
Wildermuth,Ottilie,"Morgen, Mittag und Abend",1855,1855,,"Ottilie_Wildermuth_-_Morgen,_Mittag_und_Abend_(1855)"
Kürnberger,Ferdinand,Flucht und Fund,1859,1859,,Ferdinand_Kürnberger_-_Flucht_und_Fund_(1859)
Hackländer,FW,Der Augenblick des Glücks,1857,1857,,FW_Hackländer_-_Der_Augenblick_des_Glücks_(1857)
Riehl,Wilhelm Heinrich,Die Werke der Barmherzigkeit,1856,1856,,Wilhelm_Heinrich_Riehl_-_Die_Werke_der_Barmherzigkeit_(1856)
Gutzkow,Karl,Die Nihilisten,1853,1853,,Karl_Gutzkow_-_Die_Nihilisten_(1853)
Wildermuth,Ottilie,Ein sonnenloses Leben,1855,1855,,Ottilie_Wildermuth_-_Ein_sonnenloses_Leben_(1855)
