lastname,firstname,title,year,volume,ID
Reuter,Fritz,Abendteuer des Entspekter Bräsig,1861,,Fritz_Reuter_-_Abendteuer_des_Entspekter_Bräsig_(1861)
Schücking,Levin,Deutsche Eroberungen,1883,,Levin_Schücking_-_Deutsche_Eroberungen_(1883)
Zettl,Zephyrin,Der Mühlsepperl,1901,,Zephyrin_Zettl_-_Der_Mühlsepperl_(1901)
Schumacher,Heinrich Vollrat,Liebe und Leben der Lady Hamilton,1910,,Heinrich_Vollrat_Schumacher_-_Liebe_und_Leben_der_Lady_Hamilton_(1910)
Hollaender,Felix,Sturmwind im Westen,1896,,Felix_Hollaender_-_Sturmwind_im_Westen_(1896)
Steub,Ludwig,Alpenreisen,1888,,Ludwig_Steub_-_Alpenreisen_(1888)
Frahm,Ludwig,Minschen bi Hamborg rüm,1919,,Ludwig_Frahm_-_Minschen_bi_Hamborg_rüm_(1919)
Hauptmann,Carl,Der letzte Wille,1912,,Carl_Hauptmann_-_Der_letzte_Wille_(1912)
Meyer,Conrad Ferdinand,Gustav Adolfs Page,1882,,Conrad_Ferdinand_Meyer_-_Gustav_Adolfs_Page_(1882)
Weiß,Ernst,Mensch gegen Mensch,1919,,Ernst_Weiß_-_Mensch_gegen_Mensch_(1919)
Schücking,Levin,Luther in Rom,1870,,Levin_Schücking_-_Luther_in_Rom_(1870)
Gotthelf,Jeremias,Eine alte Geschichte zu neuer Erbauung,1849,,Jeremias_Gotthelf_-_Eine_alte_Geschichte_zu_neuer_Erbauung_(1849)
Stifter,Adalbert,Der Hochwald,1841,,Adalbert_Stifter_-_Der_Hochwald_(1841)
Mackay,John Henry,Die Menschen der Ehe,1892,,John_Henry_Mackay_-_Die_Menschen_der_Ehe_(1892)
Spitteler,Carl,Der Salutist,1891,,Carl_Spitteler_-_Der_Salutist_(1891)
Bierbaum,Otto Julius,Studentenbeichten,1893,,Otto_Julius_Bierbaum_-_Studentenbeichten_(1893)
Schilling,Gustav,Die Denkwürdigkeiten des Herrn von H,1787,,Gustav_Schilling_-_Die_Denkwürdigkeiten_des_Herrn_von_H_(1787)
Heer,Jakob Christoph,Felix Notvest,1901,,Jakob_Christoph_Heer_-_Felix_Notvest_(1901)
Przybyszewski,Stanislaw,Totenmesse,1893,,Stanislaw_Przybyszewski_-_Totenmesse_(1893)
Schickele,René,Der Wolf in der Hürde,1931,,René_Schickele_-_Der_Wolf_in_der_Hürde_(1931)
Eyth,Max,Der Invalide,1904,,Max_Eyth_-_Der_Invalide_(1904)
Stratz,Rudolph,Das Licht von Osten,1919,,Rudolph_Stratz_-_Das_Licht_von_Osten_(1919)
Hansjakob,Heinrich,Erinnerungen einer alten Schwarzwälderin,1898,,Heinrich_Hansjakob_-_Erinnerungen_einer_alten_Schwarzwälderin_(1898)
Panizza,Oskar,Das Wirtshaus zur Dreifaltigkeit,1893,,Oskar_Panizza_-_Das_Wirtshaus_zur_Dreifaltigkeit_(1893)
Weiß,Ernst,Der Fall Vukobrankovics,1924,,Ernst_Weiß_-_Der_Fall_Vukobrankovics_(1924)
Laube,Heinrich,Die Novelle,1837,,Heinrich_Laube_-_Die_Novelle_(1837)
Tieck,Ludwig,Der getreue Eckart,1799,der Tannenhäser,Ludwig_Tieck_-_Der_getreue_Eckart_-_der_Tannenhäser_(1799)
Gerstäcker,Friedrich,Der Schiffszimmermann,1856,,Friedrich_Gerstäcker_-_Der_Schiffszimmermann_(1856)
David,Jakob Julius,Halluzinationen,1906,,Jakob_Julius_David_-_Halluzinationen_(1906)
Schmitthenner,Adolf,Non cras sed hodie!,1888,,Adolf_Schmitthenner_-_Non_cras_sed_hodie!_(1888)
Kürnberger,Ferdinand,Der Dichter des Don Juan,1861,,Ferdinand_Kürnberger_-_Der_Dichter_des_Don_Juan_(1861)
Stoltze,Adolf,Das Kaiseressen,1908,,Adolf_Stoltze_-_Das_Kaiseressen_(1908)
Hauptmann,Carl,Schicksale,1913,,Carl_Hauptmann_-_Schicksale_(1913)
Schubin,Ossip,Es fiel ein Reif in der Frühlingsnacht,1888,,Ossip_Schubin_-_Es_fiel_ein_Reif_in_der_Frühlingsnacht_(1888)
Wille,Bruno,Der Maschinenmensch und seine Erlösung,1930,,Bruno_Wille_-_Der_Maschinenmensch_und_seine_Erlösung_(1930)
Spyri,Johanna,Beim Weiden-Joseph,1882,,Johanna_Spyri_-_Beim_Weiden-Joseph_(1882)
Brust,Alfred,Jutt und Jula,1928,,Alfred_Brust_-_Jutt_und_Jula_(1928)
Spyri,Johanna,Der Toni vom Kandergrund,1882,,Johanna_Spyri_-_Der_Toni_vom_Kandergrund_(1882)
Heiberg,Hermann,Was du nicht willst,1896,,Hermann_Heiberg_-_Was_du_nicht_willst_(1896)
Kafka,Franz,Fürsprecher,1916,,Franz_Kafka_-_Fürsprecher_(1916)
Kafka,Franz,Der Jäger Gracchus,1916,,Franz_Kafka_-_Der_Jäger_Gracchus_(1916)
Stratz,Rudolph,Montblanc,1899,,Rudolph_Stratz_-_Montblanc_(1899)
von Holtei,Karl,Der letzte Komödiant,1863,Dritter Teil,Karl_von_Holtei_-_Der_letzte_Komödiant_-_Dritter_Teil_(1863)
Heine,Heinrich,Geständnisse,1854,,Heinrich_Heine_-_Geständnisse_(1854)
von Kleist,Heinrich,Das Erdbeben in Chili,1807,,Heinrich_von_Kleist_-_Das_Erdbeben_in_Chili_(1807)
Schmitthenner,Adolf,Der Handwerksbursche,1883,,Adolf_Schmitthenner_-_Der_Handwerksbursche_(1883)
Emmerich,Ferdinand,Schmugglerfahrten im Malaiischen Archipel,1924,,Ferdinand_Emmerich_-_Schmugglerfahrten_im_Malaiischen_Archipel_(1924)
May,Karl,Am Stillen Ozean,1879,,Karl_May_-_Am_Stillen_Ozean_(1879)
Huber,Therese,Das misslungene Opfer,1828,,Therese_Huber_-_Das_misslungene_Opfer_(1828)
Ernst,Otto,Heidéde!,1923,,Otto_Ernst_-_Heidéde!_(1923)
Weiß,Ernst,Tiere in Ketten,1918,,Ernst_Weiß_-_Tiere_in_Ketten_(1918)
Bleibtreu,Karl,Bismarck – Band 3,1915,,Karl_Bleibtreu_-_Bismarck_–_Band_3_(1915)
von Holtei,Karl,Der Henker,1854,,Karl_von_Holtei_-_Der_Henker_(1854)
Stoessl,Otto,Egon und Danitza,1911,,Otto_Stoessl_-_Egon_und_Danitza_(1911)
Schnitzler,Arthur,Spiel im Morgengrauen,1927,,Arthur_Schnitzler_-_Spiel_im_Morgengrauen_(1927)
Fehrs,Johann Hinrich,Maren,1907,,Johann_Hinrich_Fehrs_-_Maren_(1907)
Tucholsky,Kurt,Fünf kleine Prosastücke,1930,,Kurt_Tucholsky_-_Fünf_kleine_Prosastücke_(1930)
zu Reventlow,Fanny,Das gräfliche Milchgeschäft,1897,,Fanny_zu_Reventlow_-_Das_gräfliche_Milchgeschäft_(1897)
Laube,Heinrich,Reisenovellen,1837,Band 5,Heinrich_Laube_-_Reisenovellen_-_Band_5_(1837)
Schneider,Manfred,Don Francsico de Goya,1935,,Manfred_Schneider_-_Don_Francsico_de_Goya_(1935)
Frommel,Emil,Das Wahrzeichen von Ingolstadt oder Recht muß doch Recht bleib,1900,,Emil_Frommel_-_Das_Wahrzeichen_von_Ingolstadt_oder_Recht_muß_doch_Recht_bleib_(1900)
Karrillon,Adam,Die Mühle zu Husterloh,1906,,Adam_Karrillon_-_Die_Mühle_zu_Husterloh_(1906)
Voß,Richard,"Brutus, auch Du!",1916,,"Richard_Voß_-_Brutus,_auch_Du!_(1916)"
Kafka,Franz,Erstes Leid,1924,,Franz_Kafka_-_Erstes_Leid_(1924)
Hirsch,Jenny,Ein seltsamer Fall,1912,,Jenny_Hirsch_-_Ein_seltsamer_Fall_(1912)
von Zobeltitz,Fedor,Das Heiratsjahr,1900,,Fedor_von_Zobeltitz_-_Das_Heiratsjahr_(1900)
von Ompteda,Georg Freiherr,Die Tafelrunde,1913,,Georg_Freiherr_von_Ompteda_-_Die_Tafelrunde_(1913)
Körner,Theodor,Die Harfe,1811,,Theodor_Körner_-_Die_Harfe_(1811)
Dahn,Felix,Die Bataver,1890,,Felix_Dahn_-_Die_Bataver_(1890)
Gotthelf,Jeremias,Der Notar in der Falle,1848,,Jeremias_Gotthelf_-_Der_Notar_in_der_Falle_(1848)
Rosegger,Peter,Die Zuchtdirn,1874,,Peter_Rosegger_-_Die_Zuchtdirn_(1874)
Landsberger,Artur,Bankhaus Reichenbach,1928,,Artur_Landsberger_-_Bankhaus_Reichenbach_(1928)
Bonaventura,,Nachtwachen,1804,,Bonaventura_-_Nachtwachen_(1804)
Nicolai,Friedrich,Freuden des jungen Werthers,1775,,Friedrich_Nicolai_-_Freuden_des_jungen_Werthers_(1775)
Wolff,Julius,Das schwarze Weib,1894,,Julius_Wolff_-_Das_schwarze_Weib_(1894)
Samarow,Gregor,Held und Kaiser,1876,,Gregor_Samarow_-_Held_und_Kaiser_(1876)
Schnitzler,Arthur,Die Fremde,1902,,Arthur_Schnitzler_-_Die_Fremde_(1902)
Panizza,Oskar,Eine Negergeschichte,1893,,Oskar_Panizza_-_Eine_Negergeschichte_(1893)
Rosegger,Peter,Waldheimat,1877,,Peter_Rosegger_-_Waldheimat_(1877)
Kraze,Friede H.,Garba,1932,,Friede_H._Kraze_-_Garba_(1932)
Ungar,Hermann,Die Klasse,1927,,Hermann_Ungar_-_Die_Klasse_(1927)
Scheerbart,Paul,Kidimuti,1910,,Paul_Scheerbart_-_Kidimuti_(1910)
Kahane,Arthur,Willkommen und Abschied,1919,,Arthur_Kahane_-_Willkommen_und_Abschied_(1919)
Sophar,Moritz Wilhelm Sophar,Dunkle Taten,1924,,Moritz_Wilhelm_Sophar_Sophar_-_Dunkle_Taten_(1924)
Schnitzler,Arthur,Amerika,1895,,Arthur_Schnitzler_-_Amerika_(1895)
Meding,Oskar,Europäische Minen und Gegenminen,1872,,Oskar_Meding_-_Europäische_Minen_und_Gegenminen_(1872)
Wörishöffer,Sophie,Robert des Schiffsjungen Fahrten und Abenteuer,1877,,Sophie_Wörishöffer_-_Robert_des_Schiffsjungen_Fahrten_und_Abenteuer_(1877)
Heiberg,Hermann,Signa Abro,1896,,Hermann_Heiberg_-_Signa_Abro_(1896)
Paul,Jean,Mein Aufenthalt in der Nepomukskirche während der Belagerung,1810,,Jean_Paul_-_Mein_Aufenthalt_in_der_Nepomukskirche_während_der_Belagerung_(1810)
Gutzkow,Karl,Der Zauberer von Rom. VII. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._VII._Buch_(1858)
Bahr,Hermann,Die Hexe Drut,1909,,Hermann_Bahr_-_Die_Hexe_Drut_(1909)
Storm,Theodor,Auf dem Staatshof,1859,,Theodor_Storm_-_Auf_dem_Staatshof_(1859)
Hebbel,Friedrich,Aus meiner Jugend,1863,,Friedrich_Hebbel_-_Aus_meiner_Jugend_(1863)
Geßner,Salomon,Der erste Schiffer,1762,,Salomon_Geßner_-_Der_erste_Schiffer_(1762)
Raabe,Wilhelm,Im Siegeskranze,1866,,Wilhelm_Raabe_-_Im_Siegeskranze_(1866)
Franz,Agnes,Die Schwingen des Lebens,1843,,Agnes_Franz_-_Die_Schwingen_des_Lebens_(1843)
Gerstäcker,Friedrich,Der Fischfang am Mississippi,1847,,Friedrich_Gerstäcker_-_Der_Fischfang_am_Mississippi_(1847)
Ernst,Paul,Der schmale Weg zum Glück,1901,,Paul_Ernst_-_Der_schmale_Weg_zum_Glück_(1901)
Klabund,,Spuk,1922,,Klabund_-_Spuk_(1922)
zu Reventlow,Fanny,Der Selbstmordverein,1917,,Fanny_zu_Reventlow_-_Der_Selbstmordverein_(1917)
Scheerbart,Paul,Der Kaiser von Utopia,1904,,Paul_Scheerbart_-_Der_Kaiser_von_Utopia_(1904)
Meyer,Conrad Ferdinand,Huttens letzte Tage,1871,,Conrad_Ferdinand_Meyer_-_Huttens_letzte_Tage_(1871)
Panizza,Oskar,Ein kriminelles Geschlecht,1893,,Oskar_Panizza_-_Ein_kriminelles_Geschlecht_(1893)
Ganghofer,Ludwig,Schloß Hubertus,1895,,Ludwig_Ganghofer_-_Schloß_Hubertus_(1895)
von Perfall,Anton,Das verlorene Paradies,1906,,Anton_von_Perfall_-_Das_verlorene_Paradies_(1906)
Möllhausen,Balduin,Die Mandanen-Waise,1865,,Balduin_Möllhausen_-_Die_Mandanen-Waise_(1865)
von Arnim,Achim,Hollin's Liebeleben,1802,,Achim_von_Arnim_-_Hollin's_Liebeleben_(1802)
Holzamer,Wilhelm,Vor Jahr und Tag,1908,,Wilhelm_Holzamer_-_Vor_Jahr_und_Tag_(1908)
Przybyszewski,Stanislaw,Satans Kinder,1897,,Stanislaw_Przybyszewski_-_Satans_Kinder_(1897)
Seidel,Heinrich,Reinhard Flemmings Abenteuer zu Wasser und zu Lande,1900,,Heinrich_Seidel_-_Reinhard_Flemmings_Abenteuer_zu_Wasser_und_zu_Lande_(1900)
Schnitzler,Arthur,Das neue Lied,1905,,Arthur_Schnitzler_-_Das_neue_Lied_(1905)
von Lauff,Joseph,Schnee,1919,,Joseph_von_Lauff_-_Schnee_(1919)
von Ompteda,Georg Freiherr,Ernst III.,1925,,Georg_Freiherr_von_Ompteda_-_Ernst_III._(1925)
Lienert,Meinrad,Der Pfeiferkönig,1909,,Meinrad_Lienert_-_Der_Pfeiferkönig_(1909)
Kompert,Leopold,Die Schwärmerin,1883,,Leopold_Kompert_-_Die_Schwärmerin_(1883)
Holm,Korfiz,Mehr Glück als Verstand,1936,,Korfiz_Holm_-_Mehr_Glück_als_Verstand_(1936)
Moszkowski,Alexander,Die Inseln der Weisheit,1922,,Alexander_Moszkowski_-_Die_Inseln_der_Weisheit_(1922)
Kafka,Franz,Ein Besuch im Bergwerk,1916,,Franz_Kafka_-_Ein_Besuch_im_Bergwerk_(1916)
Stoltze,Adolf,Weltstadtbilder,1906,,Adolf_Stoltze_-_Weltstadtbilder_(1906)
Skowronnek,Richard,Schweigen im Walde,1910,,Richard_Skowronnek_-_Schweigen_im_Walde_(1910)
Laßwitz,Kurd,Aus dem Tagebuch einer Ameise,1908,,Kurd_Laßwitz_-_Aus_dem_Tagebuch_einer_Ameise_(1908)
Stratz,Rudolph,Du Schwert an meiner Linken,1912,,Rudolph_Stratz_-_Du_Schwert_an_meiner_Linken_(1912)
von Zobeltitz,Fedor,Der Telamone,1893,,Fedor_von_Zobeltitz_-_Der_Telamone_(1893)
Gött,Emil,Die Wallfahrt,1908,,Emil_Gött_-_Die_Wallfahrt_(1908)
Bierbaum,Otto Julius,To-lu-to-lo oder Wie Emil Türke wurde,1897,,Otto_Julius_Bierbaum_-_To-lu-to-lo_oder_Wie_Emil_Türke_wurde_(1897)
Möllhausen,Balduin,Der Schatz von Quivira,1879,,Balduin_Möllhausen_-_Der_Schatz_von_Quivira_(1879)
Andreas-Salomé,Lou,Ruth,1895,,Lou_Andreas-Salomé_-_Ruth_(1895)
Wassermann,Jakob,Der Moloch,1902,,Jakob_Wassermann_-_Der_Moloch_(1902)
Landsberger,Artur,Mensch und Richter,1931,,Artur_Landsberger_-_Mensch_und_Richter_(1931)
Retcliffe,Sir John,Nena Sahib,1858,,Sir_John_Retcliffe_-_Nena_Sahib_(1858)
Mügge,Theodor,Am Malanger Fjord,1852,,Theodor_Mügge_-_Am_Malanger_Fjord_(1852)
Schmitz,Oscar A. H.,Haschisch,1902,,Oscar_A._H._Schmitz_-_Haschisch_(1902)
Riehl,Wilhelm Heinrich,Durch tausend Jahre – Zweiter Band,1897,,Wilhelm_Heinrich_Riehl_-_Durch_tausend_Jahre_–_Zweiter_Band_(1897)
Rosegger,Peter,Der Pfarrersbub,1874,,Peter_Rosegger_-_Der_Pfarrersbub_(1874)
Gerstäcker,Friedrich,Das alte Haus,1857,,Friedrich_Gerstäcker_-_Das_alte_Haus_(1857)
Paul,Jean,Titan,1800,,Jean_Paul_-_Titan_(1800)
Laube,Heinrich,Die Karlisten,1837,,Heinrich_Laube_-_Die_Karlisten_(1837)
Heyse,Paul,Unvergeßbare Worte,1883,,Paul_Heyse_-_Unvergeßbare_Worte_(1883)
Ganghofer,Ludwig,Der Ochsenkrieg,1914,,Ludwig_Ganghofer_-_Der_Ochsenkrieg_(1914)
Schirokauer,Alfred,Der erste Mann,1932,,Alfred_Schirokauer_-_Der_erste_Mann_(1932)
von Holtei,Karl,Der letzte Komödiant,1863,Erster Teil,Karl_von_Holtei_-_Der_letzte_Komödiant_-_Erster_Teil_(1863)
Hoffmann,ETA,Lebensansichten des Katers Murr,1819,,ETA_Hoffmann_-_Lebensansichten_des_Katers_Murr_(1819)
Raabe,Wilhelm,Abu Telfan,1868,,Wilhelm_Raabe_-_Abu_Telfan_(1868)
Gerstäcker,Friedrich,Die Vertreibung der Mormonen aus Missouri,1845,,Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845)
von Arnim,Achim,"Armut, Reichtum, Schuld und Buße der Gräfin Dolores",1810,,"Achim_von_Arnim_-_Armut,_Reichtum,_Schuld_und_Buße_der_Gräfin_Dolores_(1810)"
Riehl,Wilhelm Heinrich,Gräfin Ursula,1856,,Wilhelm_Heinrich_Riehl_-_Gräfin_Ursula_(1856)
Paul,Jean,Dr. Katzenbergers Badereise,1809,,Jean_Paul_-_Dr._Katzenbergers_Badereise_(1809)
von Schmid,Christoph,Das Blumenkörbchen,1823,,Christoph_von_Schmid_-_Das_Blumenkörbchen_(1823)
Sanzara,Rahel,Die glückliche Hand,1936,,Rahel_Sanzara_-_Die_glückliche_Hand_(1936)
Hebbel,Friedrich,Schnock,1850,,Friedrich_Hebbel_-_Schnock_(1850)
Tieck,Ludwig,Der Aufruhr in den Cevennen,1826,,Ludwig_Tieck_-_Der_Aufruhr_in_den_Cevennen_(1826)
von Wildenbruch,Ernst,Das wandernde Licht,1893,,Ernst_von_Wildenbruch_-_Das_wandernde_Licht_(1893)
Günther,Agnes,Die Heilige und ihr Narr,1913,Band 1,Agnes_Günther_-_Die_Heilige_und_ihr_Narr_-_Band_1_(1913)
Essig,Hermann,Taifun,1919,,Hermann_Essig_-_Taifun_(1919)
Frapan,Ilse,Was der Alltag dichtet,1899,,Ilse_Frapan_-_Was_der_Alltag_dichtet_(1899)
Holitscher,Arthur,Geschichten aus zwei Welten,1914,,Arthur_Holitscher_-_Geschichten_aus_zwei_Welten_(1914)
Grillparzer,Franz,Der arme Spielmann,1847,,Franz_Grillparzer_-_Der_arme_Spielmann_(1847)
Keller,Gottfried,Romeo und Julia,1876,,Gottfried_Keller_-_Romeo_und_Julia_(1876)
Kinkel,Gottfried,Die Sühne durchs Leben,1871,,Gottfried_Kinkel_-_Die_Sühne_durchs_Leben_(1871)
Meyrink,Gustav,Der weiße Dominikaner,1921,,Gustav_Meyrink_-_Der_weiße_Dominikaner_(1921)
Klinger,Friedrich Maximilian,Geschichte Giafars des Barmeciden,1791,Band 1,Friedrich_Maximilian_Klinger_-_Geschichte_Giafars_des_Barmeciden_-_Band_1_(1791)
Ernst,Paul,Geschichten von deutscher Art,1928,,Paul_Ernst_-_Geschichten_von_deutscher_Art_(1928)
Seidel,Willy,Die magische Laterne des Herrn Zinkeisen,1930,,Willy_Seidel_-_Die_magische_Laterne_des_Herrn_Zinkeisen_(1930)
Bettauer,Hugo,Der Frauenmörder,1926,,Hugo_Bettauer_-_Der_Frauenmörder_(1926)
Müller-Partenkirchen,Fritz,Kramer & Friemann,1920,,Fritz_Müller-Partenkirchen_-_Kramer_&_Friemann_(1920)
Raabe,Wilhelm,Die Gänse von Bützow,1866,,Wilhelm_Raabe_-_Die_Gänse_von_Bützow_(1866)
Schott,Anton,Der Kohlenbrenner,1900,,Anton_Schott_-_Der_Kohlenbrenner_(1900)
Ball,Hugo,Tenderenda der Phantast,1914,,Hugo_Ball_-_Tenderenda_der_Phantast_(1914)
Raabe,Wilhelm,Gedelöcke,1866,,Wilhelm_Raabe_-_Gedelöcke_(1866)
Retcliffe,Sir John,Magenta und Solferino,1864,Band 1,Sir_John_Retcliffe_-_Magenta_und_Solferino_-_Band_1_(1864)
Eyth,Max,Hinter Pflug und Schraubstock,1899,,Max_Eyth_-_Hinter_Pflug_und_Schraubstock_(1899)
Paul,Jean,Leben Fibels,1812,,Jean_Paul_-_Leben_Fibels_(1812)
Kafka,Franz,Das Urteil,1916,,Franz_Kafka_-_Das_Urteil_(1916)
Marlitt,Eugenie,Die Frau mit den Karfunkelsteinen,1885,,Eugenie_Marlitt_-_Die_Frau_mit_den_Karfunkelsteinen_(1885)
Lindau,Rudolf,Ein ganzes Leben,1895,,Rudolf_Lindau_-_Ein_ganzes_Leben_(1895)
Gerstäcker,Friedrich,Schwarz und Weiß,1848,,Friedrich_Gerstäcker_-_Schwarz_und_Weiß_(1848)
Scheerbart,Paul,Tarub Bagdads berühmte Köchin,1897,,Paul_Scheerbart_-_Tarub_Bagdads_berühmte_Köchin_(1897)
Gerstäcker,Friedrich,Ein Ausflug in Java,1867,,Friedrich_Gerstäcker_-_Ein_Ausflug_in_Java_(1867)
Kabel,Walther,Allan Garps letzte Stunde,1933,,Walther_Kabel_-_Allan_Garps_letzte_Stunde_(1933)
von Liliencron,Detlev,Das Ehepaar Quint,1909,,Detlev_von_Liliencron_-_Das_Ehepaar_Quint_(1909)
Flaischlen,Cäsar,Jost Seyfried. Erster Band,1905,,Cäsar_Flaischlen_-_Jost_Seyfried._Erster_Band_(1905)
